onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
623.0060000000	n/a	n/a	STATUS	n/a	n/a	S201
774.5640000000	n/a	n/a	STATUS	n/a	n/a	S205
816.6840000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
820.3680000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
820.7360000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
822.7900000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
824.1160000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
824.5400000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
826.5980000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
827.8280000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
828.2620000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
830.3180000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
831.3320000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
831.6960000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
833.7520000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
835.8480000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
836.3740000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
838.4280000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
839.2000000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
839.7160000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
841.7700000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
842.7320000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
843.2660000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
845.3200000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
846.9000000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
847.3140000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
849.3680000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
850.1280000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
850.5120000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
852.5660000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
853.3360000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
853.7000000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
855.7520000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
856.6480000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
857.1720000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
859.2240000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
860.0320000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
860.3880000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
862.4420000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
863.9040000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
864.3380000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
866.3920000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
868.0320000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
868.3960000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
870.4500000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
871.6400000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
872.0140000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
874.0680000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
874.5560000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
875.0880000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
877.1420000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
879.1640000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
879.5180000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
881.5700000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
883.8000000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
884.3120000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
886.3660000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
887.2720000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
887.6980000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
889.7500000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
891.0160000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
891.4480000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
893.5020000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
895.7320000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
896.1160000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
898.1700000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
899.4440000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
899.9060000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
901.9600000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
902.8520000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
903.3440000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
905.3980000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
906.1160000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
906.5080000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
908.5620000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
911.4240000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
911.8960000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
913.9500000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
916.3320000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
916.7140000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
918.7680000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
920.0080000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
920.4600000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
922.5140000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
923.5200000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
923.9440000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
925.9980000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
926.9880000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
927.4800000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
929.5340000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
931.8480000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
932.4020000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
934.4540000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
936.4180000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
936.7820000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
938.8360000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
939.8860000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
940.2600000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
942.3140000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
944.2020000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
944.6060000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
946.6600000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
947.4980000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
947.9020000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
949.9540000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
951.4940000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
952.0400000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
954.0920000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
955.8580000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
956.4120000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
958.4660000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
959.8540000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
960.3180000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
962.3700000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
963.9660000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
964.3200000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
966.3740000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
969.1660000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
969.6400000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
971.6920000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
972.9040000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
973.3900000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
975.4420000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
977.0140000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
977.3680000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
979.4200000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
980.4780000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
980.9020000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
982.9560000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
983.8220000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
984.3260000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
986.3780000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
988.0340000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
988.5380000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
990.5920000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
993.1420000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
993.6960000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
995.7480000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
997.5700000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
998.0540000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1000.1060000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1003.3660000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1003.7500000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1005.8020000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
1008.8300000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1009.3240000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1011.3760000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1015.4280000000	n/a	n/a	RESP: No Response	n/a	n/a	S105
1015.9460000000	n/a	n/a	FB: No Response FB	n/a	n/a	S  7
1018.0000000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1019.4700000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1019.8940000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1021.9480000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1023.5300000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1023.9540000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1026.0060000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
1027.5220000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1028.0240000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1030.0780000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1032.1060000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1032.4600000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1034.5120000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1035.9180000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1036.3200000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1038.3740000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1039.3460000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1039.7580000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1041.8120000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1044.1540000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1044.5300000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1046.5840000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1048.0140000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1048.3980000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1050.4500000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1051.2260000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1051.6280000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1053.6820000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1055.4380000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1055.8600000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1057.9140000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1059.5980000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1060.1100000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1068.0300000000	n/a	n/a	STATUS	n/a	n/a	S204
1425.4860000000	n/a	n/a	STATUS	n/a	n/a	S205
1500.2660000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1503.7940000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1504.3500000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1506.4060000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1510.1820000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1510.6160000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1512.6700000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
1515.5960000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1516.0320000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1518.0840000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1519.4000000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1519.8840000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1521.9380000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1523.8160000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1524.3200000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1526.3740000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1527.7640000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1528.1780000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1530.2300000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1532.5320000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1532.9660000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
