onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
550.9540000000	n/a	n/a	STATUS	n/a	n/a	S255
552.5780000000	n/a	n/a	STATUS	n/a	n/a	S191
552.5820000000	n/a	n/a	TESTING: B-E	n/a	n/a	S 63
552.6620000000	n/a	n/a	TESTING: E-A	n/a	n/a	S 31
552.6680000000	n/a	n/a	TESTING: A-D	n/a	n/a	S 15
552.6800000000	n/a	n/a	TESTING: A-E	n/a	n/a	S 13
552.6840000000	n/a	n/a	STATUS	n/a	n/a	S  5
552.6940000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
619.2860000000	n/a	n/a	STATUS	n/a	n/a	S 85
619.2920000000	n/a	n/a	STATUS	n/a	n/a	S255
619.4080000000	n/a	n/a	TESTING: Right Press, Incorrect	n/a	n/a	S  4
1420.8020000000	n/a	n/a	STATUS	n/a	n/a	S201
1572.3220000000	n/a	n/a	STATUS	n/a	n/a	S205
1598.8320000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1602.2600000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1602.6660000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1604.7340000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
1607.2440000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1607.6200000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1609.6880000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1610.9760000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1611.3880000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1613.4580000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1614.6680000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1615.0420000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1617.1100000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1618.0440000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1618.5620000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1620.6300000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1621.2160000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1621.7460000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1623.8160000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1624.7400000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1625.1820000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1627.2520000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1628.0160000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1628.4860000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1630.5540000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1631.6000000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1632.0040000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1634.0740000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
1635.1560000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1635.6400000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1637.7080000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1638.8240000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1639.2760000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1641.3460000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1642.0080000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1642.5460000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1644.6140000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
1645.0680000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1645.5480000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1647.6160000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1648.2080000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1648.7340000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1650.8020000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1651.6480000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1652.1360000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1654.2060000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1654.9400000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1655.3720000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1657.4420000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1658.0200000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1658.4740000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1660.5440000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1661.7680000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1662.2280000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1664.2960000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1665.4280000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1665.9980000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1668.0660000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1668.9400000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1669.3340000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1671.4020000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
1673.3160000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1673.8200000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1675.8880000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1677.2400000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1677.8060000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1679.8740000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1680.5160000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1680.9580000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1683.0280000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
1684.3540000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1684.9280000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1686.9960000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1687.4980000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1687.8800000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1689.9480000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1691.2460000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1691.6660000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1693.7340000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
1695.7820000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1696.2380000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1698.3060000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1699.4180000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1699.8560000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1701.9240000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1703.6100000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1704.0940000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1706.1620000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1706.9700000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1707.4120000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1709.4800000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1711.0020000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1711.4660000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1713.5340000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1715.3700000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1715.8020000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1717.8700000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1719.3300000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1719.7380000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1721.8080000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1723.2740000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1723.7580000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1725.8260000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1726.4980000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1727.0280000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1729.0960000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1729.7780000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
