onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
545.9500000000	n/a	n/a	STATUS	n/a	n/a	S211
830.2220000000	n/a	n/a	STATUS	n/a	n/a	S205
860.3780000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
862.2860000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
862.7520000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
864.8080000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
865.6540000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
866.0080000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
868.0660000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
868.7820000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
869.3240000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
871.3800000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
872.1940000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
872.7260000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
874.7820000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
875.8100000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
876.3560000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
878.4100000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
879.3620000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
879.7540000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
881.8080000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
882.4620000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
882.9260000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
884.9780000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
885.7180000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
886.1700000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
888.2240000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
888.8340000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
889.2880000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
891.3420000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
892.1020000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
892.6460000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
894.7000000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
895.8240000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
896.2580000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
898.3120000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
898.8940000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
899.4060000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
901.4600000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
902.3680000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
902.8720000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
904.9260000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
905.9380000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
906.3240000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
908.3760000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
908.9460000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
909.4780000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
911.5320000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
912.1000000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
912.5960000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
914.6480000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
915.3560000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
915.8000000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
917.8540000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
918.6480000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
919.0320000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
921.0860000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
921.9400000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
922.3940000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
924.4480000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
925.2520000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
925.6760000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
927.7280000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
928.8040000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
929.2780000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
931.3300000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
931.8920000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
932.2560000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
934.3100000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
934.8680000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
935.3520000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
937.4040000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
938.1560000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
938.5800000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
940.6340000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
941.4800000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
941.9940000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
944.0480000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
944.6520000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
945.0860000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
947.1380000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
947.9680000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
948.3220000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
950.3740000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
951.2400000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
951.7640000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
953.8160000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
954.4480000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
954.8820000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
956.9360000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
957.5520000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
957.9360000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
959.9880000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
960.5720000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
960.9460000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
962.9980000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
963.6240000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
964.1580000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
966.2120000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
966.9280000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
967.4720000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
969.5260000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
970.4640000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
970.8980000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
972.9500000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
973.5160000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
973.8700000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
975.9240000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
976.7600000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
977.1240000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
979.1780000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
980.5240000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
981.0080000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
983.0600000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
984.0640000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
984.5280000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
986.5800000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
987.8240000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
988.2360000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
990.2900000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
991.4880000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
991.8820000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
993.9360000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
994.8400000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
995.3520000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
997.4060000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
998.3240000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
998.7660000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1000.8200000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1001.5120000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1002.0040000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1004.0580000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1004.6000000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1005.1060000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1007.1580000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1007.7960000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1008.1580000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1010.2120000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1010.9080000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1011.4300000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1013.4840000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1014.4160000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1014.8980000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1016.9520000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1017.9840000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1018.5400000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1020.5920000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1021.5080000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1021.9820000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1024.0340000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1024.6920000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1025.1340000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1027.1880000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
1027.9400000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1028.2920000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1030.3460000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1030.9880000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1031.3900000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1033.4440000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1034.6680000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1035.0800000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1037.1340000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1038.1040000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1038.6160000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1040.6700000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1041.3520000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1041.9040000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1043.9580000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1044.7240000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1045.2300000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1047.2820000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1048.0000000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1048.3740000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1050.4260000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1051.2440000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1051.7260000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1053.7800000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
1054.8320000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1055.2860000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1057.3380000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1057.8960000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1058.3080000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1068.0020000000	n/a	n/a	STATUS	n/a	n/a	S214
1231.6560000000	n/a	n/a	STATUS	n/a	n/a	S205
1255.6940000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1257.5220000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1257.9660000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1260.0200000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
1260.6380000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1261.0220000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1263.0760000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1263.7920000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1264.3160000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1266.3680000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1267.3360000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1267.8400000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1269.8920000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1270.7720000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1271.2380000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1273.2920000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1274.2760000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1274.6600000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1276.7120000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
1277.5040000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1277.9380000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1279.9920000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1280.6520000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1281.0960000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1283.1500000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1283.8600000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1284.4140000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1286.4660000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1287.4600000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1287.9040000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1289.9560000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1290.8680000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1291.3720000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1293.4260000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1294.2040000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1294.5780000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1296.6300000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1297.6680000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1298.2220000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1300.2760000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
1301.0640000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1301.5480000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1303.6000000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1304.1720000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1304.5560000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1306.6100000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1307.3120000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1307.7160000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1309.7680000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
1310.4120000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1310.7860000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1312.8380000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1313.4480000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1313.8920000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1315.9460000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1316.6040000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1316.9980000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1319.0500000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
1319.8160000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
1320.2700000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1322.3240000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1323.1720000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1323.5860000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1325.6380000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
1326.2760000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1326.7900000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
1328.8440000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
1329.8720000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
1330.3060000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1332.3600000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
1333.1640000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
1333.6480000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
1335.7000000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
1336.4240000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
1336.8980000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
