onset	duration	sample	trial_type	response_time	stim_file	value
2417.4260000000	n/a	n/a	TESTING: D-B	n/a	n/a	S 56
2418.9040000000	n/a	n/a	TESTING: Right Press, Incorrect	n/a	n/a	S  4
2419.9580000000	n/a	n/a	TESTING: A-C	n/a	n/a	S 12
2420.6160000000	n/a	n/a	TESTING: Right Press, Incorrect	n/a	n/a	S  4
2421.6700000000	n/a	n/a	TESTING: C-B	n/a	n/a	S 26
2422.1520000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2423.2060000000	n/a	n/a	TESTING: F-C	n/a	n/a	S 42
2423.6040000000	n/a	n/a	TESTING: Right Press, Correct	n/a	n/a	S  2
2424.6580000000	n/a	n/a	TESTING: E-F	n/a	n/a	S 34
2425.5840000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2426.6380000000	n/a	n/a	TESTING: D-F	n/a	n/a	S 54
2427.4800000000	n/a	n/a	TESTING: Right Press, Correct	n/a	n/a	S  2
2428.5340000000	n/a	n/a	TESTING: C-D	n/a	n/a	S 25
2429.7880000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2430.8420000000	n/a	n/a	TESTING: F-B	n/a	n/a	S 46
2432.0600000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2433.1140000000	n/a	n/a	TESTING: E-B	n/a	n/a	S 36
2433.7160000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2434.7700000000	n/a	n/a	TESTING: F-B	n/a	n/a	S 46
2435.3000000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2436.3540000000	n/a	n/a	TESTING: C-E	n/a	n/a	S 23
2437.0400000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2438.0940000000	n/a	n/a	TESTING: E-D	n/a	n/a	S 35
2438.6360000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2439.6880000000	n/a	n/a	TESTING: E-C	n/a	n/a	S 32
2440.3400000000	n/a	n/a	TESTING: Right Press, Correct	n/a	n/a	S  2
2441.3940000000	n/a	n/a	TESTING: C-A	n/a	n/a	S 21
2443.7200000000	n/a	n/a	TESTING: Left Press, Incorrect	n/a	n/a	S  3
2444.7740000000	n/a	n/a	TESTING: B-C	n/a	n/a	S 62
2445.2480000000	n/a	n/a	TESTING: Right Press, Correct	n/a	n/a	S  2
2446.3020000000	n/a	n/a	TESTING: C-D	n/a	n/a	S 25
2446.6960000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2447.7500000000	n/a	n/a	TESTING: A-C	n/a	n/a	S 12
2448.1400000000	n/a	n/a	TESTING: Right Press, Incorrect	n/a	n/a	S  4
2449.1940000000	n/a	n/a	TESTING: E-D	n/a	n/a	S 35
2450.1880000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2451.2420000000	n/a	n/a	TESTING: F-E	n/a	n/a	S 43
2451.7400000000	n/a	n/a	TESTING: Right Press, Correct	n/a	n/a	S  2
2452.7940000000	n/a	n/a	TESTING: E-A	n/a	n/a	S 31
2453.2760000000	n/a	n/a	TESTING: Left Press, Incorrect	n/a	n/a	S  3
2454.3300000000	n/a	n/a	TESTING: C-E	n/a	n/a	S 23
2454.9760000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2456.0300000000	n/a	n/a	TESTING: C-E	n/a	n/a	S 23
2456.4920000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2457.5460000000	n/a	n/a	TESTING: F-E	n/a	n/a	S 43
2458.4840000000	n/a	n/a	TESTING: Right Press, Correct	n/a	n/a	S  2
2459.5360000000	n/a	n/a	TESTING: A-F	n/a	n/a	S 14
2460.7240000000	n/a	n/a	TESTING: Right Press, Incorrect	n/a	n/a	S  4
2461.7780000000	n/a	n/a	TESTING: D-C	n/a	n/a	S 52
2462.3560000000	n/a	n/a	TESTING: Right Press, Correct	n/a	n/a	S  2
2463.4100000000	n/a	n/a	TESTING: F-A	n/a	n/a	S 41
2463.9280000000	n/a	n/a	TESTING: Left Press, Incorrect	n/a	n/a	S  3
2464.9800000000	n/a	n/a	TESTING: A-D	n/a	n/a	S 15
2466.2960000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2467.3480000000	n/a	n/a	TESTING: E-F	n/a	n/a	S 34
2468.3760000000	n/a	n/a	TESTING: Right Press, Incorrect	n/a	n/a	S  4
2469.4280000000	n/a	n/a	TESTING: A-B	n/a	n/a	S 16
2470.5680000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2471.6200000000	n/a	n/a	TESTING: B-A	n/a	n/a	S 61
2472.5840000000	n/a	n/a	TESTING: Right Press, Correct	n/a	n/a	S  2
2473.6360000000	n/a	n/a	TESTING: F-D	n/a	n/a	S 45
2474.2880000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2475.3400000000	n/a	n/a	TESTING: D-E	n/a	n/a	S 53
2475.8920000000	n/a	n/a	TESTING: Right Press, Correct	n/a	n/a	S  2
2476.9440000000	n/a	n/a	TESTING: D-C	n/a	n/a	S 52
2477.3840000000	n/a	n/a	TESTING: Right Press, Correct	n/a	n/a	S  2
2478.4360000000	n/a	n/a	TESTING: C-F	n/a	n/a	S 24
2479.0880000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2480.1400000000	n/a	n/a	TESTING: E-F	n/a	n/a	S 34
2480.7320000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2481.7840000000	n/a	n/a	TESTING: C-E	n/a	n/a	S 23
2482.4760000000	n/a	n/a	TESTING: Left Press, Correct	n/a	n/a	S  1
2483.5280000000	n/a	n/a	TESTING: D-A	n/a	n/a	S 51
2484.4440000000	n/a	n/a	TESTING: Right Press, Correct	n/a	n/a	S  2
2485.4960000000	n/a	n/a	TESTING: D-B	n/a	n/a	S 56
2486.0800000000	n/a	n/a	TESTING: Right Press, Incorrect	n/a	n/a	S  4
2487.1320000000	n/a	n/a	TESTING: B-C	n/a	n/a	S 62
