onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
241.7760000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
243.1120000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
243.5380000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
245.6100000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
247.0960000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
247.6080000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
249.6760000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
250.9200000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
251.3600000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
253.4280000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
254.8360000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
255.3640000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
257.4320000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
258.8320000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
259.2500000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
261.3180000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
263.1760000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
263.6520000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
265.7220000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
268.6280000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
269.1400000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
271.2100000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
272.9880000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
273.5600000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
275.6300000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
277.2920000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
277.8140000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
279.8820000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
281.2280000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
281.6660000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
283.7360000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
285.0960000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
285.4540000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
287.5220000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
288.2880000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
288.8380000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
290.9080000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
291.6280000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
292.0580000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
294.1260000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
295.4560000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
296.0280000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
298.0960000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
299.3160000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
299.7480000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
301.8160000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
303.3600000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
303.7840000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
305.8520000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
307.1320000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
307.6040000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
309.6720000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
311.2120000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
311.6060000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
313.6760000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
314.8360000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
315.3760000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
317.4440000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
319.1440000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
319.6300000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
321.6980000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
322.6920000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
323.1820000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
325.2500000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
326.2560000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
326.7180000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
328.7860000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
329.7840000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
330.2880000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
332.3560000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
333.0600000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
333.5900000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
335.6580000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
336.5080000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
336.8760000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
338.9440000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
340.0160000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
340.5620000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
342.6300000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
343.2800000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
343.7640000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
345.8340000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
346.6600000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
347.1160000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
349.1860000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
350.0480000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
350.6200000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
352.6880000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
354.0560000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
354.5220000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
356.5920000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
357.4800000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
357.8580000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
359.9280000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
360.8320000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
361.2120000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
363.2800000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
364.1000000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
364.5480000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
366.6160000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
367.4200000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
367.9000000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
369.9680000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
371.0600000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
371.5860000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
373.6540000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
374.4080000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
374.8220000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
376.8900000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
377.7800000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
378.3080000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
380.3760000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
381.2160000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
381.5760000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
383.6460000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
384.7400000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
385.1460000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
387.2140000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
388.4300000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
388.9660000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
391.0340000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
391.8300000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
392.2680000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
394.3360000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
395.3740000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
395.9220000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
397.9900000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
399.0220000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
399.5240000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
401.5920000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
402.3980000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
402.7760000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
404.8460000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
405.9180000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
406.3460000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
408.4140000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
409.3660000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
409.8660000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
411.9340000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
412.6140000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
413.0840000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
415.1520000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
415.8380000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
416.2040000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
418.2720000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
419.1020000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
419.4900000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
421.5580000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
422.3260000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
422.6920000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
424.7600000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
425.7540000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
426.1280000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
428.1960000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
428.9900000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
429.4640000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
431.5320000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
432.4540000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
432.8820000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
434.9520000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
435.8100000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
436.3180000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
438.3880000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
439.0980000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
439.6540000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
441.7240000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
442.3700000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
442.8240000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
444.8920000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
445.6940000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
446.2600000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
