onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
268.8220000000	n/a	n/a	STIM: E-F	n/a	n/a	S134
271.0700000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
271.4680000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
273.5400000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
275.8360000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
276.2540000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
278.3240000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
279.2880000000	n/a	n/a	RESP: Right Press, Incorrect	n/a	n/a	S104
279.8560000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
281.9260000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
285.9920000000	n/a	n/a	RESP: No Response	n/a	n/a	S105
286.5120000000	n/a	n/a	FB: No Response FB	n/a	n/a	S  7
288.5800000000	n/a	n/a	STIM: A-B	n/a	n/a	S116
289.6960000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
290.2640000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
292.3340000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
294.0360000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
294.4680000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
296.5360000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
297.5400000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
297.9700000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
300.0400000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
301.2120000000	n/a	n/a	RESP: Left Press, Incorrect	n/a	n/a	S103
301.7060000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
303.7760000000	n/a	n/a	STIM: D-C	n/a	n/a	S152
304.7720000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
305.2100000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
307.2780000000	n/a	n/a	STIM: B-A	n/a	n/a	S161
308.3760000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
308.9300000000	n/a	n/a	FB: Punishment	n/a	n/a	S  9
310.9980000000	n/a	n/a	STIM: F-E	n/a	n/a	S143
312.3680000000	n/a	n/a	RESP: Right Press, Correct	n/a	n/a	S102
312.8820000000	n/a	n/a	FB: Reward	n/a	n/a	S  8
314.9500000000	n/a	n/a	STIM: C-D	n/a	n/a	S125
316.9720000000	n/a	n/a	RESP: Left Press, Correct	n/a	n/a	S101
